Key,Timestamp
'l',1740288786.979081
's',1740288787.053924
't',1740288792.52757
'r',1740288792.7382982
'e',1740288792.97356
'e',1740288793.1247842
'p',1740288796.1963892
'r',1740288796.373299
'i',1740288796.468374
'n',1740288796.635285
't',1740288796.697053
'c',1740288798.3645608
'o',1740288798.463476
'm',1740288798.681123
'm',1740288798.840064
'a',1740288798.943361
'n',1740288799.095144
'd',1740288799.194609
'l',1740288802.548245
's',1740288802.653823
Key.space,1740288803.098552
'-',1740288803.3274271
'a',1740288803.414665
'h',1740288824.344964
'e',1740288824.542565
'l',1740288824.7314
'l',1740288824.9113631
'o',1740288825.142813
Key.space,1740288825.396811
'w',1740288825.719768
'o',1740288825.878446
'r',1740288826.0100632
'l',1740288826.171435
'd',1740288826.361418
Key.space,1740288826.852741
'c',1740288833.5040169
'o',1740288833.5867991
'm',1740288833.867477
'm',1740288834.038242
'a',1740288834.3744462
'n',1740288834.5191941
'd',1740288834.688543
Key.caps_lock,1740288835.7766259
Key.caps_lock,1740288836.6019762
'a',1740288839.62928
'b',1740288839.720514
's',1740288839.8641868
'a',1740288849.171238
'n',1740288849.284672
's',1740288849.4709
'w',1740288849.822977
'e',1740288849.9910479
'r',1740288850.999984
'm',1740288851.623157
'e',1740288851.702087
'h',1740288853.746947
'e',1740288853.9226189
'l',1740288854.125665
'l',1740288854.30673
'o',1740288854.504765
't',1740288862.0598872
'y',1740288862.12275
'p',1740288862.382637
'e',1740288862.537538
'i',1740288862.905051
'n',1740288863.0808582
's',1740288863.669038
'o',1740288863.7409651
'm',1740288863.938594
'e',1740288864.039389
't',1740288864.2846699
'h',1740288864.352484
'i',1740288864.5595148
'n',1740288864.65678
'g',1740288864.777861
'1',1740288867.0607219
'2',1740288867.27723
'3',1740288867.579434
'5',1740288868.4937978
'6',1740288868.729645
'1',1740288869.356729
'2',1740288869.591458
'0',1740288870.122474
'8',1740288870.478941
'4',1740288871.0996091
'7',1740288871.3744462
Key.enter,1740288873.518519
'h',1740288876.3304708
'i',1740288876.494082
"','",1740288878.4277601
Key.space,1740288878.999257
'h',1740288879.4992971
'o',1740288879.683137
'w',1740288879.778704
Key.space,1740288879.957209
'a',1740288880.188187
'r',1740288880.377834
'e',1740288880.502479
Key.space,1740288880.680086
'y',1740288880.9391649
'o',1740288881.147095
'u',1740288881.226916
Key.space,1740288881.584127
't',1740288881.828037
'o',1740288881.9930959
'd',1740288882.213113
'a',1740288882.37111
'y',1740288882.4348328
Key.esc,1740288885.118293
'h',1740289819.336519
'e',1740289819.4800231
'l',1740289819.859203
'l',1740289820.002006
'o',1740289820.235766
Key.space,1740289820.517109
'h',1740289820.95194
'o',1740289821.161
'w',1740289821.283556
Key.space,1740289821.4441469
'a',1740289821.639307
'r',1740289821.762549
'e',1740289821.881242
Key.space,1740289822.029114
'y',1740289822.239883
'o',1740289822.429903
'u',1740289822.5611598
Key.space,1740289822.8121521
'i',1740289824.4062562
"""'""",1740289825.949076
'm',1740289826.466044
Key.space,1740289827.228041
'f',1740289828.2150831
'i',1740289828.28296
'n',1740289828.464828
'e',1740289828.5479329
Key.space,1740289828.7401931
't',1740289828.895715
'h',1740289829.07797
'a',1740289829.1882272
'n',1740289829.3101618
'k',1740289829.483619
Key.space,1740289829.673634
'y',1740289829.936794
'o',1740289830.169704
'u',1740289830.2654028
Key.space,1740289830.9799428
'n',1740289832.573167
'i',1740289832.76646
'c',1740289832.9206872
'e',1740289833.139803
Key.space,1740289833.28119
't',1740289833.4396968
'o',1740289833.514997
Key.space,1740289833.718524
'm',1740289833.9496598
'e',1740289834.060837
'e',1740289834.254712
't',1740289834.435591
Key.space,1740289834.553851
'y',1740289834.815837
'o',1740289835.006955
'u',1740289835.1297688
Key.space,1740289835.7808928
's',1740289837.8578858
'h',1740289837.980405
'o',1740289838.163084
'w',1740289838.250761
Key.space,1740289838.420463
't',1740289838.572648
'h',1740289838.695714
'e',1740289838.830337
Key.space,1740289838.9646778
'c',1740289839.161568
'o',1740289839.224999
'm',1740289839.437603
'm',1740289839.592711
'a',1740289839.698816
'n',1740289839.838589
'd',1740289839.922226
'l',1740289842.943584
's',1740289843.0590138
Key.space,1740289844.0127192
'p',1740289845.417601
'r',1740289845.5793548
'i',1740289845.6704462
't',1740289845.821425
'n',1740289845.8329542
Key.cmd,1740289850.1979148
'c',1740289850.369765
'p',1740289855.076313
'r',1740289855.229085
'i',1740289855.336084
'n',1740289855.498292
't',1740289855.573314
Key.esc,1740289857.3903491
'a',1740501927.0277
Key.space,1740501928.264937
'f',1740501928.359453
'o',1740501928.4838378
'w',1740501928.7587461
Key.space,1740501928.862713
'j',1740501930.0384152
'u',1740501930.176665
'm',1740501930.35761
'p',1740501930.536344
Key.space,1740501930.666455
'v',1740501931.707284
Key.backspace,1740501932.036757
'o',1740501932.2103739
'v',1740501932.2937028
'e',1740501932.390531
'r',1740501932.5096269
Key.space,1740501932.560817
'a',1740501933.107689
Key.space,1740501933.219753
'c',1740501933.490058
'r',1740501933.70193
'a',1740501933.821783
'z',1740501934.0314372
'y',1740501934.111527
Key.space,1740501934.390369
'd',1740501934.5173461
'o',1740501934.605525
's',1740501934.705117
Key.space,1740501934.866312
Key.esc,1740501942.9010198
'-',1740501952.815239
'r',1740501952.974429
'm',1740501954.253633
Key.space,1740501954.42526
'a',1740501955.433173
'l',1740501955.529269
'l',1740501955.6929438
Key.space,1740501955.8001149
'a',1740501956.957047
'd',1740501957.121484
'm',1740501957.2055712
'i',1740501957.366838
'n',1740501957.485787
Key.space,1740501957.631658
'f',1740501960.312629
'i',1740501960.3851242
'l',1740501960.5692742
'e',1740501960.6062999
Key.enter,1740501962.1575758
'.',1740501966.4233558
'.',1740501966.57352
'/',1740501966.716461
Key.enter,1740501967.467842
Key.esc,1740501968.275456
